,a2c_with_rc,a2c_no_rc,sac_with_rc,sac_no_rc,mean var,dji
2022-01-18,1110110.9463964426,1006616.7104715959,1060776.6542089235,1034426.2845558624,1018966.5987833769,1030355.8183407617
2022-01-19,1101838.3359118502,995002.8320691072,1054096.2460286866,1018926.7511467438,1006237.519704412,1020456.1577518436
2022-01-20,1095050.8353928798,990982.8883090211,1044995.8901441345,1010843.4636787872,992476.1852905871,1011330.3171045842
2022-01-21,1091040.823227444,978008.5117253114,1029053.8439290771,997133.7972511749,986151.789770026,998220.3279312357
2022-01-24,1094314.0001085512,976404.1426148682,1028418.8341509858,1004437.0041450958,1000808.2584577102,1001108.155675275
2022-01-25,1096682.1451923982,964455.3203153383,1034861.513382206,995383.1575531464,988162.1002323059,999163.022695456
2022-01-26,1090312.992926655,970220.1971064531,1035849.4995501137,984340.7415375214,985734.6885307359,995386.3261919615
2022-01-27,1088194.9868994334,970652.481864071,1039702.2553093224,980545.7943024139,986620.4943741045,995173.4119109552
2022-01-28,1106402.1933622935,996808.2547827188,1069949.1546927567,996309.9717926483,1021479.1077834058,1011623.9134942136
2022-01-31,1111922.663363911,1012537.8121789667,1075972.9811166497,1012576.2899269562,1036966.2561241083,1023462.903413388
2022-02-01,1116861.0877886203,1020300.602322407,1082006.9866517754,1026209.6858772736,1035971.0259174848,1031426.9899747075
